name,short_name,lat,lng,zoom,tiles_wide,tiles_high,constant_max,constant_mean,constant_min,constant_stdDev,NDVI_max,NDVI_mean,NDVI_min,NDVI_stdDev,NBR_max,NBR_mean,NBR_min,NBR_stdDev,NDUI_max,NDUI_mean,NDUI_min,NDUI_stdDev,GNDVI_max,GNDVI_mean,GNDVI_min,GNDVI_stdDev,NDWI_max,NDWI_mean,NDWI_min,NDWI_stdDev,Shade_max,Shade_mean,Shade_min,Shade_stdDev,NDBI_max,NDBI_mean,NDBI_min,NDBI_stdDev,NMDI_max,NMDI_mean,NMDI_min,NMDI_stdDev,NDBSI_max,NDBSI_mean,NDBSI_min,NDBSI_stdDev,NBaDI_max,NBaDI_mean,NBaDI_min,NBaDI_stdDev,WVP_max,WVP_mean,WVP_min,WVP_stdDev,AOT_max,AOT_mean,AOT_min,AOT_stdDev,LST_max,LST_mean,LST_min,LST_stdDev,SAVI_max,SAVI_mean,SAVI_min,SAVI_stdDev,UHSI_max,UHSI_mean,UHSI_min,UHSI_stdDev,png_1_ratio,png_2_ratio,png_5_ratio,png_6_ratio,png_9_ratio,png_3_ratio,png_4_ratio,png_7_ratio,png_8_ratio,1_ratio,2_ratio,4_ratio,5_ratio,6_ratio,9_ratio,3_ratio,7_ratio,8_ratio,degree_of_urbanization,night_light_intensity,population_density_per_km2,built_area_km2,built_height_m,msz_class,gis_occurence,NO2_mol_per_m2,pm25(microg/10m3)
R. V. College of Engineering,RVCE,12.92372216,77.50083257,19,7,7,,,,,0.883066952,0.292313002,-0.063795656,0.207433396,0.642254949,0.060684768,-0.528608024,0.161799168,0.543424308,0.03734945,-0.465687603,0.112149765,0.802304208,0.342795159,-0.35150376,0.184552719,0.35150376,-0.342795159,-0.802304208,0.184552719,1.063795686,0.707686998,0.116933048,0.207433396,0.543424308,0.03734945,-0.465687603,0.112149765,0.000828958,-0.276984163,-0.539243281,0.048160056,0.750434875,0.372518224,-0.14634867,0.147517263,0.651397765,0.296771476,-0.258768916,0.118064083,2065.5,1540.471149,1169,112.6596458,256.5,256.3955556,256,0.203704049,6066,2814.931471,766,707.6453487,1.324466467,0.438406704,-0.095687583,0.311101647,1.94159174,1.237776542,0.802118719,0.188811478,0.677505493,0.006347656,0.308670044,0.002929688,0.004547119,0,0,0,0,0.016098022,0.01335144,0.767745972,0.192367554,0.008361816,0.002075195,0,0,0,30,42.90428543,516.550415,0.032195617,4.078070641,2,,6.05E-05,2.65666666
NIT Trichy,NITT,10.76197449,78.81844391,19,8,8,,,,,0.834752142,0.408370673,0.006127056,0.156248919,0.56181854,0.136656096,-0.212819889,0.134736202,0.334066898,0.024815368,-0.3293944,0.109996397,0.77798593,0.470241626,0.008149473,0.103921986,-0.008149473,-0.470241626,-0.77798593,0.103921986,0.993872941,0.591629327,0.165247858,0.156248919,0.334066898,0.024815368,-0.3293944,0.109996397,-0.098855361,-0.254462619,-0.485328466,0.053612254,0.625322044,0.308222348,-0.072949514,0.126438141,0.591013849,0.358461394,-0.143697888,0.084819726,5144,3954.115534,3421,315.7150959,204,196.3519523,180,7.576523952,5094,2998.294211,1727,529.7709505,1.251971483,0.612477483,0.009189843,0.234340056,1.882629156,1.398644376,0.850469232,0.129912331,0.651535034,0.053543091,0.117950439,0,0.149017334,7.63E-05,0.027877808,0,0,0.000305176,0,0.969314575,0.030380249,0,0,0,0,0,30,9.113928795,76.20902252,0.004825732,0.606435716,3,,2.35E-05,2.430833348
BMS College of Engineering,BMS,12.9418413,77.56635383,19,7,7,,,,,0.915066361,0.270550539,-0.036211219,0.217419494,0.706129611,0.05747317,-0.35361585,0.169193175,0.385865957,0.018057094,-0.478447258,0.123280299,0.83198899,0.324301968,-0.037889577,0.182416228,0.037889577,-0.324301968,-0.83198899,0.182416228,1.036211252,0.729449461,0.084933639,0.217419494,0.385865957,0.018057094,-0.478447258,0.123280299,-0.127936736,-0.296719719,-0.538137078,0.048984856,0.653440118,0.373753278,-0.195575684,0.161341295,0.687156081,0.281251588,-0.284755498,0.122111563,1851,1419.551768,956,106.4430498,251.5,250.1816288,248,0.866670246,5709.5,2382.416139,1307.5,468.7385554,1.372448921,0.40576527,-0.054312132,0.326079411,2.202927589,1.183227033,0.908377767,0.17385557,0.739959717,0.012252808,0.222747803,0.00642395,0.018081665,1.53E-05,0.000518799,0,0,0.000335693,0.038223267,0.800323486,0.161117554,0,0,0,0,0,30,45.29357147,354.3695068,0.022083981,2.797479153,2,1,7.20E-05,3.208333381
Vutkoor Lakahmaiyya College of Pharmacy,VLP,16.19718492,77.36495742,19,3,3,,,,,0.72525692,0.199289799,-0.011609664,0.116699221,0.422628582,-0.016701707,-0.311251581,0.08627915,0.336257309,0.081143781,-0.242294192,0.058420863,0.671469748,0.273288031,0.030085023,0.107752574,-0.030085023,-0.273288031,-0.671469748,0.107752574,1.011609674,0.800710201,0.27474308,0.116699221,0.336257309,0.081143781,-0.242294192,0.058420863,-0.156787097,-0.268338686,-0.394921333,0.026197314,0.623174846,0.440926991,0.042059213,0.078688056,0.560730338,0.290624095,-0.106222503,0.078712131,2735,2308.551475,1960,88.42097287,259,259,259,0,5043,3015.876163,1193,443.1863542,1.087738276,0.298897637,-0.01741313,0.175023641,1.625,1.142975159,0.938556075,0.102799704,0.580886841,0.011398315,0.230911255,0.006973267,0.168029785,1.53E-05,0.001785278,0,0,0.00050354,0,0.94631958,0.052856445,0.000259399,6.10E-05,0,0,0,30,37.85749817,212.695816,0.012869141,1.654452324,2,5,3.59E-05,3.580000051
BNM Institute of Technology,BNMIT,12.92198362,77.56712557,19,4,4,,,,,0.890016496,0.280231824,-0.045194738,0.214290326,0.646512628,0.083260186,-0.374538124,0.159349154,0.470270276,-0.001090285,-0.434828579,0.116551781,0.808010578,0.329205717,-0.043233413,0.180838341,0.043233413,-0.329205717,-0.808010578,0.180838341,1.045194745,0.719768176,0.109983504,0.214290326,0.470270276,-0.001090285,-0.434828579,0.116551781,-0.066160977,-0.302616457,-0.513773382,0.046591856,0.659475386,0.359338945,-0.147895992,0.156058918,0.662162185,0.262659952,-0.409517944,0.123768615,1858.5,1420.461057,976,94.28588185,252,251.2421936,250,0.484339966,4448.5,2393.847239,1292,360.3090752,1.334867239,0.420287564,-0.067787603,0.321387617,2.038805962,1.195776081,0.89793247,0.153745546,0.729263306,0.013259888,0.237457275,0.008544922,0.011444092,1.53E-05,1.53E-05,0,0,0.000823975,0.034820557,0.756317139,0.207626343,0,0.000411987,0,0,0,30,44.86071396,725.2940063,0.045206837,5.726102352,14,1,6.67E-05,2.948333367
Garden City University,GC,13.0253613,77.70691969,19,5,5,,,,,0.798289061,0.21713578,-0.142348751,0.155451156,0.441176474,0.009273528,-0.679302812,0.103403101,0.654946089,0.079301972,-0.331275076,0.07777799,0.748236179,0.287009138,-0.450134784,0.162562171,0.450134784,-0.287009138,-0.748236179,0.162562171,1.142348766,0.78286422,0.201710939,0.155451156,0.654946089,0.079301972,-0.331275076,0.07777799,-0.017051913,-0.258140782,-0.468466252,0.038681628,0.836365223,0.431083096,0.002951279,0.099608104,0.719000876,0.282126852,-0.489655167,0.134878465,2215,1529.443727,1079,122.4261597,240,239.7083885,239,0.454662352,6213,3185.159955,206,781.6227482,1.197298765,0.325662141,-0.213333338,0.23313755,1.739591837,1.202846641,0.912763298,0.131687632,0.767501831,0.007446289,0.186157227,0.008285522,0.030609131,0,0,0,0,0.000274658,0.003173828,0.860626221,0.134658813,0.001235962,3.05E-05,0,0,0,30,44.01428604,623.5136108,0.038830675,4.92051363,2,6,4.12E-05,2.935000062
Vedanta Degree College,VED,16.18232287,77.36430209,19,3,3,,,,,0.754269063,0.196541356,-0.010383748,0.0850835,0.491741747,-0.036183927,-0.317983806,0.078037584,0.297384292,0.140762939,-0.266375542,0.055766113,0.653385699,0.326369877,0.027591974,0.077471604,-0.027591974,-0.326369877,-0.653385699,0.077471604,1.010383725,0.803458644,0.245730937,0.085083501,0.297384292,0.140762939,-0.266375542,0.055766113,-0.126933947,-0.220629285,-0.406441092,0.026647394,0.640951276,0.472110791,0.004242808,0.064582364,0.578336537,0.359491345,-0.073762842,0.052840268,2823,2284.171536,1920,114.222711,276,261.938439,257,6.795439179,5299,3633.070147,1962,565.9405432,1.131285787,0.294778125,-0.015573863,0.12760773,1.744944572,1.239211428,0.90321058,0.092505141,0.396240234,0.027633667,0.550292969,0.006835938,0.018951416,4.58E-05,0,0,0,0,0,0.98928833,0.010574341,0.000137329,0,0,0,0,21,10.875,46.67834,0.002824694,0.36311436,11,8,3.44E-05,3.35666674
Sir. M. Visvesvaraya College of Engineering,SMVCE,16.25209663,77.36319784,19,4,4,,,,,0.785482109,0.279033462,-0.004805125,0.122351218,0.519734442,0.024395185,-0.210677475,0.09419219,0.275159985,0.10013709,-0.307936519,0.070196254,0.711471617,0.384702825,0.057497833,0.095837926,-0.057497833,-0.384702825,-0.711471617,0.095837926,1.004805088,0.720966538,0.214517891,0.122351218,0.275159985,0.10013709,-0.307936519,0.070196254,-0.143316373,-0.231119631,-0.426466733,0.032953034,0.587195754,0.410551814,-0.046709314,0.088940829,0.600538373,0.36583107,0.00869917,0.069890096,2597,2283.670285,2062,79.72358856,261,260.0332099,260,0.1875416,5188,3381.818645,2101,558.2394592,1.178095579,0.418498469,-0.007207207,0.183498836,1.84907186,1.290521383,1.016510844,0.108567006,0.566452026,0.014709473,0.344100952,0.005477905,0.069137573,4.58E-05,7.63E-05,0,0,0.005432129,0,0.982894897,0.011672974,0,0,0,0,0,30,7.616071224,90.69799042,0.005484614,0.705296695,12,,4.82E-05,4.100833448
Dayananda Sagar College of Engineering,DSCE,12.90835587,77.56703807,19,7,7,,,,,0.883507431,0.242622088,-0.038181547,0.203376702,0.63345468,0.038164911,-0.474101841,0.150975965,0.499895215,0.031341696,-0.40488705,0.104850825,0.806697845,0.295578909,-0.032245103,0.176152911,0.032245103,-0.295578909,-0.806697845,0.176152911,1.038181543,0.757377912,0.116492569,0.203376702,0.499895215,0.031341696,-0.40488705,0.104850825,-0.048064191,-0.292069488,-0.497601211,0.040124875,0.748897672,0.394359804,-0.141314775,0.145988143,0.695838213,0.269109955,-0.288056582,0.10909486,1938,1403.834229,962,103.0719762,252.5,251.6066012,250.5,0.368067493,4856,2535.436945,1299.5,418.2906583,1.325121284,0.363881802,-0.057268068,0.305019218,2.01986146,1.164381655,0.918731391,0.160074517,0.669906616,0.01008606,0.304901123,0.001495361,0.01361084,0,0,0,0,0,0.013214111,0.846099854,0.140563965,0,0.00012207,0,0,0,30,63.2885704,896.9996338,0.055915184,7.082083225,2,,6.00E-05,2.95166676
SDM College of Engineering and Technology,SDM,15.42946671,75.01422087,19,7,7,,,,,0.750998974,0.278433496,0.020307355,0.119669839,0.49263829,0.008697225,-0.266174972,0.093464851,0.350498348,0.109018895,-0.261317313,0.075217474,0.703494072,0.377605686,0.083333336,0.096658833,-0.083333336,-0.377605686,-0.703494072,0.096658833,0.979692638,0.721566504,0.249001026,0.119669839,0.350498348,0.109018895,-0.261317313,0.075217474,-0.085146286,-0.229798426,-0.391713679,0.036650744,0.626689196,0.4152927,-0.005670309,0.088110743,0.590645313,0.371669294,-0.072980151,0.078448635,2469.833252,2166.869842,1780.599976,95.41445797,211,210.2238117,209,0.381534117,5441,3150.905193,1800.333374,651.9300807,1.12636292,0.417593869,0.030456852,0.179476035,1.769285202,1.272326375,1.007737875,0.097503572,0.720748901,0.010314941,0.20993042,0.000335693,0.050521851,0,0.008148193,0,0,0.000595093,3.05E-05,0.994445801,0.004928589,0,0,0,0,0,30,10.63285732,149.8011932,0.009132763,1.169657588,13,7,2.48E-05,2.629166675
